geneSymbol	diseaseName
AARS	Charcot-Marie-Tooth Disease
AARS	Epileptic encephalopathy
AARS	Charcot-Marie-Tooth Disease, Axonal, Type 2n
AARS	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29
ABAT	Gastroesophageal reflux disease
ABAT	Jacksonian Seizure
ABAT	Liver Cirrhosis, Experimental
ABAT	Complex partial seizures
ABAT	Generalized seizures
ABAT	Seizures, Clonic
ABAT	Visual seizure
ABAT	Epileptic drop attack
ABAT	Gamma aminobutyric acid transaminase deficiency
ABAT	Olfactory seizure
ABAT	Vertiginous seizure
ABAT	Tonic - clonic seizures
ABAT	Epileptic encephalopathy
ABAT	Single Seizure
ABAT	Atonic Absence Seizures
ABAT	Developmental Psychomotor Disorders
ABAT	Neonatal Hypotonia
ABAT	Nonepileptic Seizures
ABAT	Epileptic Seizures
ABAT	Generalized Absence Seizures
ABCA1	Atherosclerosis
ABCA1	Colorectal Carcinoma
ABCA1	Hypercholesterolemia
ABCA1	Hypercholesterolemia, Familial
ABCA1	Kidney Failure, Chronic
ABCA1	Schizophrenia
ABCA1	Tangier Disease
ABCA1	Hypoalphalipoproteinemias
ABCA1	Hyperlipoproteinemia Type IIa
ABCA1	Tangier Disease Neuropathy
ABCA1	Colorectal Cancer
ABCA1	Hyperlipoproteinemia Type IIb
ABCA1	Hypoalphalipoproteinemia, Familial
ABCA1	Familial HDL deficiency
ABCA1	High density lipoprotein deficiency
ABCA1	Hdl Deficiency, Type 2
ABCA3	Malignant neoplasm of breast
ABCA3	Colorectal Carcinoma
ABCA3	Hyaline Membrane Disease
ABCA3	Pulmonary Fibrosis
ABCA3	Respiratory Distress Syndrome, Newborn
ABCA3	Hamman-Rich syndrome
ABCA3	Respiratory Distress Syndrome
ABCA3	Colorectal Cancer
ABCA3	Idiopathic Pulmonary Fibrosis
ABCA3	Surfactant Metabolism Dysfunction, Pulmonary, 3
ABCB7	Sideroblastic anemia
ABCB7	Congenital anemia
ABCB7	Tremor, Rubral
ABCB7	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA
ABCF1	Pneumonia
ABCF1	Lobar Pneumonia
ABCF1	Experimental Lung Inflammation
ABCF1	Pneumonitis
ABCA4	Malignant neoplasm of breast
ABCA4	Cleft upper lip
ABCA4	Colorectal Carcinoma
ABCA4	Retinitis Pigmentosa
ABCA4	Age related macular degeneration
ABCA4	Colorectal Cancer
ABCA4	STARGARDT DISEASE 1 (disorder)
ABCA4	Retinal Dystrophy, Early Onset Severe
ABCA4	CONE-ROD DYSTROPHY 3 (disorder)
ABCA4	RETINITIS PIGMENTOSA 19
ABCA4	Macular Degeneration, Age-Related, 2
ABCA4	Juvenile macular degeneration
ABL1	Malignant neoplasm of breast
ABL1	Burkitt Lymphoma
ABL1	Failure to Thrive
ABL1	Childhood Acute Lymphoblastic Leukemia
ABL1	Leukemia, Lymphocytic, Acute, L2
ABL1	Myeloid Leukemia, Chronic
ABL1	melanoma
ABL1	Congenital anemia
ABL1	Adenocarcinoma, Basal Cell
ABL1	Adenocarcinoma, Oxyphilic
ABL1	Carcinoma, Cribriform
ABL1	Carcinoma, Granular Cell
ABL1	Adenocarcinoma, Tubular
ABL1	Malignant neoplasm of liver
ABL1	Large cell carcinoma of lung
ABL1	Malignant neoplasm of esophagus
ABL1	Breast Carcinoma
ABL1	Precursor B-cell lymphoblastic leukemia
ABL1	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
ABL1	Precursor Cell Lymphoblastic Leukemia Lymphoma
ABL1	CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME
ABO	Alcoholic Intoxication, Chronic
ABO	Coronary Arteriosclerosis
ABO	Curling Ulcer
ABO	Duodenal Ulcer
ABO	Pancreatic Neoplasm
ABO	Alcohol abuse
ABO	Malignant neoplasm of pancreas
ABO	Malignant neoplasm of prostate
ABO	Epithelial ovarian cancer
ABO	Acute Cerebrovascular Accidents
ABO	Coronary Artery Disease
ABR	Malignant neoplasm of prostate
ACACA	Heart failure
ACACA	Congestive heart failure
ACACA	Left-Sided Heart Failure
ACACA	Heart Failure, Right-Sided
ACACA	Acetyl-CoA: carboxylase deficiency
ACACA	Colorectal Cancer
ACACA	Myocardial Failure
ACACA	Liver carcinoma
ACACB	Obesity
ACACB	Pancreatic Ductal Adenocarcinoma
ACADL	Long chain acyl-CoA dehydrogenase deficiency
ACADM	Arthrogryposis
ACADM	Malignant neoplasm of breast
ACADM	Obesity
ACADM	Liver Failure
ACADM	Medium-chain acyl-coenzyme A dehydrogenase deficiency
ACADM	Necrotizing Enterocolitis
ACADS	Arthrogryposis
ACADS	Bipolar Disorder
ACADS	Deficiency of butyryl-CoA dehydrogenase
ACADSB	2-Methylbutyryl-CoA Dehydrogenase Deficiency
ACADVL	Arthrogryposis
ACADVL	Hypertrophic Cardiomyopathy
ACADVL	Very long chain acyl-CoA dehydrogenase deficiency
ACAT1	Jacksonian Seizure
ACAT1	Kidney Failure, Chronic
ACAT1	Liver Cirrhosis, Experimental
ACAT1	Complex partial seizures
ACAT1	Generalized seizures
ACAT1	Seizures, Clonic
ACAT1	Visual seizure
ACAT1	Epileptic drop attack
ACAT1	Olfactory seizure
ACAT1	Vertiginous seizure
ACAT1	Tonic - clonic seizures
ACAT1	Single Seizure
ACAT1	Atonic Absence Seizures
ACAT1	Deficiency of acetyl-CoA acetyltransferase
ACAT1	Nonepileptic Seizures
ACAT1	Epileptic Seizures
ACAT1	Generalized Absence Seizures
ACAT2	Cytosolic acetoacetyl-CoA thiolase deficiency
ASIC1	Brain Ischemia
ASIC1	Brain Lacerations
ASIC1	Cerebral Ischemia
ACHE	Alzheimer's Disease
ACHE	Amyloidosis
ACHE	Malignant neoplasm of breast
ACHE	Renal Cell Carcinoma
ACHE	Presenile dementia
ACHE	Jacksonian Seizure
ACHE	Liver Cirrhosis, Experimental
ACHE	Memory Disorders
ACHE	Muscular Dystrophy
ACHE	Obesity
ACHE	Schizophrenia
ACHE	Complex partial seizures
ACHE	Generalized seizures
ACHE	Seizures, Clonic
ACHE	Amphetamine Addiction
ACHE	Amphetamine Abuse
ACHE	Etat Marbre
ACHE	Visual seizure
ACHE	Epileptic drop attack
ACHE	Familial Alzheimer Disease (FAD)
ACHE	Conventional (Clear Cell) Renal Cell Carcinoma
ACHE	Organophosphorus Poisoning
ACHE	Malignant neoplasm of prostate
ACHE	Olfactory seizure
ACHE	Vertiginous seizure
ACHE	Alzheimer Disease, Late Onset
ACHE	Tonic - clonic seizures
ACHE	Acute Confusional Senile Dementia
ACHE	Breast Carcinoma
ACHE	Organophosphate poisoning
ACHE	Alzheimer's Disease, Focal Onset
ACHE	Alzheimer Disease, Early Onset
ACHE	Single Seizure
ACHE	Atonic Absence Seizures
ACHE	Learning Disturbance
ACHE	Learning Disabilities
ACHE	Age-Related Memory Disorders
ACHE	Memory Disorder, Semantic
ACHE	Memory Disorder, Spatial
ACHE	Chromophobe Renal Cell Carcinoma
ACHE	Sarcomatoid Renal Cell Carcinoma
ACHE	Collecting Duct Carcinoma of the Kidney
ACHE	Papillary Renal Cell Carcinoma
ACHE	Organothiophosphonate Poisoning
ACHE	Organothiophosphate Poisoning
ACHE	Nonepileptic Seizures
ACHE	Epileptic Seizures
ACHE	Generalized Absence Seizures
ACLY	Heart failure
ACLY	Congestive heart failure
ACLY	Left-Sided Heart Failure
ACLY	Obesity
ACLY	Heart Failure, Right-Sided
ACLY	Myocardial Failure
ACLY	Liver carcinoma
ACO1	Degenerative polyarthritis
ACO1	Osteoarthrosis Deformans
ACO2	Malignant neoplasm of breast
ACO2	Respiratory Distress Syndrome, Adult
ACO2	Liver carcinoma
ACO2	INFANTILE CEREBELLAR-RETINAL DEGENERATION
ACO2	OPTIC ATROPHY 9
ACOX1	Alloxan Diabetes
ACOX1	Diabetes Mellitus, Experimental
ACOX1	Leukodystrophy
ACOX1	Streptozotocin Diabetes
ACOX1	Epileptic encephalopathy
ACOX1	Peroxisomal ACYL-COA oxidase deficiency
ACOX1	Liver carcinoma
ACP1	Schizophrenia
ACP1	Unipolar Depression
ACP1	Major Depressive Disorder
ACP2	Acid Phosphatase Deficiency
ACP5	Hyperparathyroidism, Secondary
ACP5	Liver Cirrhosis, Experimental
ACP5	Obesity
ACP5	Osteogenesis Imperfecta
ACP5	Spondyloenchondrodysplasia
ACP5	SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION
ACPP	Juvenile-Onset Still Disease
ACPP	Juvenile arthritis
ACPP	Juvenile psoriatic arthritis
ACTA1	Arthrogryposis
ACTA1	Hypertrophic Cardiomyopathy
ACTA1	Left Ventricular Hypertrophy
ACTA1	Centronuclear myopathy
ACTA1	Myopathies, Nemaline
ACTA1	Zebra body myopathy
ACTA1	Eichsfeld type congenital muscular dystrophy
ACTA1	X-linked centronuclear myopathy
ACTA1	Tubular Aggregate Myopathy
ACTA1	Nemaline Myopathy, Childhood Onset
ACTA1	Congenital Fiber Type Disproportion
ACTA1	Congenital muscular dystrophy (disorder)
ACTA1	Congenital Structural Myopathy
ACTA1	Cardiomyopathy, Hypertrophic, Familial
ACTA1	Myopathy, Actin, Congenital, with Excess of Thin Myofilaments
ACTA1	Myopathy, Centronuclear, Autosomal Dominant
ACTA1	Nemaline Myopathy 3, With Intranuclear Rods
ACTA1	Myopathy, Actin, Congenital, With Cores
ACTA1	Autosomal Recessive Centronuclear Myopathy
ACTA1	Autosomal Dominant Myotubular Myopathy
ACTA1	Actin-Accumulation Myopathy
ACTA1	MYOPATHY, SCAPULOHUMEROPERONEAL
ACTA2	Cholestasis, Extrahepatic
ACTA2	Malignant neoplasm of breast
ACTA2	Malignant tumor of colon
ACTA2	Ehlers-Danlos Syndrome
ACTA2	Endometriosis
ACTA2	Focal glomerulosclerosis
ACTA2	Hepatitis, Chronic
ACTA2	Liver Cirrhosis
ACTA2	Liver Cirrhosis, Experimental
ACTA2	Marfan Syndrome
ACTA2	Moyamoya Disease
ACTA2	Myocardial Infarction
ACTA2	Systemic Scleroderma
ACTA2	Hyalinosis, Segmental Glomerular
ACTA2	Chronic Persistent Hepatitis
ACTA2	Aortic Aneurysm, Thoracic
ACTA2	Fibrosis, Liver
ACTA2	Endometrioma
ACTA2	Aortic Aneurysm, Thoracoabdominal
ACTA2	Congenital aneurysm of ascending aorta
ACTA2	Chronic active hepatitis
ACTA2	Cryptogenic Chronic Hepatitis
ACTA2	Breast Carcinoma
ACTA2	Nephrogenic Fibrosing Dermopathy
ACTA2	Copper-Overload Cirrhosis
ACTA2	Cakut
ACTA2	Aortic Aneurysm, Familial Thoracic 6
ACTA2	Moyamoya disease 1
ACTA2	MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME
ACTA2	MOYAMOYA DISEASE 5
ACTB	Bipolar Disorder
ACTB	Congenital ocular coloboma (disorder)
ACTB	Craniosynostosis
ACTB	Dysostoses
ACTB	Sensorineural Hearing Loss (disorder)
ACTB	Degenerative polyarthritis
ACTB	Schizophrenia
ACTB	Osteoarthrosis Deformans
ACTB	Myocardial Ischemia
ACTB	Anaplastic carcinoma
ACTB	Carcinoma, Spindle-Cell
ACTB	Malignant neoplasm of lung
ACTB	Pigmented hairy epidermal nevus
ACTB	Cranioschisis
ACTB	Malignant neoplasm of esophagus
ACTB	Mammary Carcinoma, Animal
ACTB	Sensory hearing loss
ACTB	Juvenile-onset dystonia
ACTB	Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation
ACTB	Becker Nevus Syndrome
ACTB	Liver carcinoma
ACTC1	Hypertrophic Cardiomyopathy
ACTC1	Charcot-Marie-Tooth Disease
ACTC1	Malignant neoplasm of stomach
ACTC1	Familial dilated cardiomyopathy
ACTC1	Ostium secundum atrial septal defect
ACTC1	Cardiomyopathy, Hypertrophic, Familial
ACTC1	Cardiomyopathy, Familial Idiopathic
ACTC1	Ametropia
ACTC1	Hereditary Diffuse Gastric Cancer
ACTC1	Left ventricular noncompaction
ACTC1	Cardiomyopathy, Familial Hypertrophic, 11
ACTC1	Atrial Septal Defect 5
ACTC1	CARDIOMYOPATHY, DILATED, 1R
ACTC1	LEFT VENTRICULAR NONCOMPACTION 4
ACTC1	Left ventricular noncompaction cardiomyopathy
ACTG1	Osteoporosis, Age-Related
ACTG1	Congenital ocular coloboma (disorder)
ACTG1	Craniosynostosis
ACTG1	Osteoporosis
ACTG1	Osteoporosis, Senile
ACTG1	Anaplastic carcinoma
ACTG1	Carcinoma, Spindle-Cell
ACTG1	Cranioschisis
ACTG1	Congenital coloboma of iris
ACTG1	Post-Traumatic Osteoporosis
ACTG1	Acute Coronary Syndrome
ACTG1	Mammary Carcinoma, Animal
ACTG1	Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation
ACTG1	Deafness, Autosomal Dominant 20
ACTG1	BARAITSER-WINTER SYNDROME 2
ACTG2	Malignant tumor of colon
ACTG2	Visceral Myopathy
ACTG2	Visceral Myopathy, Familial
ACTG2	Megacystis microcolon intestinal hypoperistalsis syndrome
ACTG2	Megaduodenum and-or Megacystis
ACTG2	Visceral Neuropathy, Familial, Autosomal Dominant
ACTG2	Cakut
ACTN4	Focal glomerulosclerosis
ACTN4	Hyalinosis, Segmental Glomerular
ACTN4	Anaplastic carcinoma
ACTN4	Carcinoma, Spindle-Cell
ACTN4	Segmental glomerulosclerosis
ACTN4	Mammary Carcinoma, Animal
ACTN1	Liver Cirrhosis, Experimental
ACTN1	BLEEDING DISORDER, PLATELET-TYPE, 15
ACTN1	Autosomal dominant macrothrombocytopenia
ACTN2	Hypertrophic Cardiomyopathy
ACTN2	Charcot-Marie-Tooth Disease
ACTN2	Familial dilated cardiomyopathy
ACTN2	Cardiomyopathy, Dilated, 1AA
ACTN2	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 23, WITH OR WITHOUT VENTRICULAR NONCOMPACTION
ACVR1	Astrocytoma
ACVR1	Malignant neoplasm of breast
ACVR1	Ehlers-Danlos Syndrome
ACVR1	Fibrodysplasia Ossificans Progressiva
ACVR1	Glioma
ACVR1	melanoma
ACVR1	Myositis Ossificans
ACVR1	Subependymal Giant Cell Astrocytoma
ACVR1	Acute Lung Injury
ACVR1	mixed gliomas
ACVR1	Juvenile Pilocytic Astrocytoma
ACVR1	Diffuse Astrocytoma
ACVR1	Anaplastic astrocytoma
ACVR1	Protoplasmic astrocytoma
ACVR1	Gemistocytic astrocytoma
ACVR1	Fibrillary Astrocytoma
ACVR1	Pilocytic Astrocytoma
ACVR1	Childhood Cerebral Astrocytoma
ACVR1	Congenital aneurysm of ascending aorta
ACVR1	Mixed oligoastrocytoma
ACVR1	Malignant Glioma
ACVR1	Breast Carcinoma
ACVR1	Cerebral Astrocytoma
ACVR1	Intracranial Astrocytoma
ACVR1	Grade I Astrocytoma
ACVR2A	Gastric Adenocarcinoma
ACVR2B	Situs Inversus
ACVR2B	Asplenia Syndrome
ACVR2B	Polysplenia Syndrome
ACVR2B	Situs ambiguus
ACVR2B	Situs ambiguous
ACVR2B	HETEROTAXY, VISCERAL, 4, AUTOSOMAL
ACVR2B	Heterotaxy Syndrome
ACVR2B	Right Atrial Isomerism
ACVR2B	Left Atrial Isomerism
ACVRL1	Hereditary hemorrhagic telangiectasia
ACVRL1	Aortic Aneurysm, Thoracic
ACVRL1	Familial primary pulmonary hypertension
ACVRL1	Familial pulmonary arterial hypertension
ACVRL1	HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION
ACVRL1	OSLER-RENDU-WEBER SYNDROME 2
ACVRL1	Pulmonary arterial hypertension
ACVRL1	Idiopathic pulmonary arterial hypertension
ACY1	Malignant neoplasm of breast
ACY1	Renal Cell Carcinoma
ACY1	Conventional (Clear Cell) Renal Cell Carcinoma
ACY1	Chromophobe Renal Cell Carcinoma
ACY1	Sarcomatoid Renal Cell Carcinoma
ACY1	Collecting Duct Carcinoma of the Kidney
ACY1	Papillary Renal Cell Carcinoma
ACY1	Aminoacylase 1 deficiency
ADA	Hyperemia
ADA	Liver Cirrhosis, Experimental
ADA	Malignant neoplasm of lung
ADA	Adenosine deaminase deficiency
ADA	Severe combined immunodeficiency due to adenosine deaminase deficiency
ADA	Pancreatic Ductal Adenocarcinoma
ADA	SCID Due to ADA Deficiency, Early-Onset
ADA	Partial adenosine deaminase deficiency
ADA	Omenn Syndrome
ADAM8	Hepatitis, Toxic
ADAM8	Drug-Induced Liver Disease
ADAM8	Hepatitis, Drug-Induced
ADAM8	Drug-Induced Acute Liver Injury
ADAM8	Chemical and Drug Induced Liver Injury
ADAM8	Chemically-Induced Liver Toxicity
ADAM10	Malignant neoplasm of breast
ADAM10	Reticulate acropigmentation of Kitamura
ADAM10	Breast Carcinoma
ADAM10	Stage IV Skin Melanoma
ADAM10	dowling-degos disease
ADAM10	ALZHEIMER DISEASE 18
ADAR	Malignant neoplasm of breast
ADAR	Leukodystrophy
ADAR	Spastic Paraplegia, Hereditary
ADAR	AICARDI-GOUTIERES SYNDROME
ADAR	Symmetrical dyschromatosis of extremities
ADAR	Epileptic encephalopathy
ADAR	Breast Carcinoma
ADAR	STRIATONIGRAL DEGENERATION, INFANTILE (disorder)
ADAR	AICARDI-GOUTIERES SYNDROME 1
ADAR	Aicardi-Goutieres Syndrome 2
ADAR	Pseudo-TORCH syndrome
ADAR	AICARDI-GOUTIERES SYNDROME 6
ADARB1	Bipolar Disorder
ADARB1	Polycystic Ovary Syndrome
ADARB1	Schizophrenia
ADARB1	Sclerocystic Ovaries
ADARB2	Drug abuse
ADARB2	Organic Mental Disorders, Substance-Induced
ADARB2	Substance Dependence
ADARB2	Substance abuse problem
ADARB2	Colorectal Cancer
ADCY1	Substance Withdrawal Syndrome
ADCY1	Small cell carcinoma of lung
ADCY1	DEAFNESS, AUTOSOMAL RECESSIVE 44
ADCY2	Asthma
ADCY2	Bipolar Disorder
ADCY3	Bipolar Disorder
ADCY3	Diabetic Angiopathies
ADCY3	Microangiopathy, Diabetic
ADCY3	Obesity
ADCY3	Obesity, Morbid
ADCY5	Osteoporosis, Age-Related
ADCY5	Alcoholic Intoxication, Chronic
ADCY5	Mental Depression
ADCY5	Depressive disorder
ADCY5	Diabetes Mellitus, Non-Insulin-Dependent
ADCY5	Osteoporosis
ADCY5	Osteoporosis, Senile
ADCY5	Unipolar Depression
ADCY5	Anaplastic carcinoma
ADCY5	Carcinoma, Spindle-Cell
ADCY5	Benign Hereditary Chorea
ADCY5	Post-Traumatic Osteoporosis
ADCY5	Mammary Carcinoma, Animal
ADCY5	Major Depressive Disorder
ADCY5	Cirrhosis
ADCY5	Dyskinesia, Familial, with Facial Myokymia
ADCY5	Chorea, Benign Familial
ADCY6	Arthrogryposis
ADCY6	LETHAL CONGENITAL CONTRACTURE SYNDROME 8
ADCY7	Alcoholic Intoxication, Chronic
ADCY7	Ulcerative Colitis
ADCY7	Mental Depression
ADCY7	Depressive disorder
ADCY7	Leukemia, Myelocytic, Acute
ADCY7	Acute Myeloid Leukemia, M1
ADCY7	Schizophrenia
ADCY7	Unipolar Depression
ADCY7	Juvenile-Onset Still Disease
ADCY7	Major Depressive Disorder
ADCY7	Acute Myeloid Leukemia (AML-M2)
ADCY7	Juvenile arthritis
ADCY7	Juvenile psoriatic arthritis
ADCY8	Bipolar Disorder
ADCY8	Mental Depression
ADCY8	Depressive disorder
ADCY8	Diabetic Angiopathies
ADCY8	Microangiopathy, Diabetic
ADCY8	Substance Withdrawal Syndrome
ADCY8	Colorectal Cancer
ADCYAP1	Bipolar Disorder
ADCYAP1	Mental Depression
ADCYAP1	Depressive disorder
ADCYAP1	Hyperemia
ADCYAP1	Miosis disorder
ADCYAP1	Schizophrenia
ADCYAP1	Overactive Detrusor
ADCYAP1	Squamous cell carcinoma of esophagus
ADCYAP1	Overactive Bladder
ADCYAP1R1	Asthma
ADCYAP1R1	Mental Depression
ADCYAP1R1	Depressive disorder
ADCYAP1R1	Schizophrenia
ADD1	Essential Hypertension
ADD1	Liver carcinoma
ADD1	Familial M̩ni̬re disease
ADD2	Familial M̩ni̬re disease
ADD3	Brain Ischemia
ADD3	Liver Cirrhosis, Experimental
ADD3	Encephalopathy, Toxic
ADD3	Toxic Encephalitis
ADD3	Cerebral Ischemia
ADD3	Cerebral Palsy, Spastic Quadriplegic, 1
ADD3	Familial M̩ni̬re disease
ADD3	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3
PLIN2	Fatty Liver
PLIN2	Liver Cirrhosis, Experimental
PLIN2	Malignant neoplasm of stomach
PLIN2	Hereditary Diffuse Gastric Cancer
PLIN2	Steatohepatitis
ADH1A	Alcoholic Intoxication, Chronic
ADH1B	Alcohol Use Disorder
ADH1B	Alcoholic Intoxication
ADH1B	Alcoholic Intoxication, Chronic
ADH1B	Malignant neoplasm of larynx
ADH1B	Cerebral Infarction
ADH1B	Colorectal Carcinoma
ADH1B	Laryngeal neoplasm
ADH1B	Obesity
ADH1B	Alcohol abuse
ADH1B	Malignant neoplasm of mouth
ADH1B	Malignant neoplasm of pharynx
ADH1B	Squamous cell carcinoma of esophagus
ADH1B	Wernicke-Korsakoff Syndrome
ADH1B	Malignant neoplasm of esophagus
ADH1B	Cerebral Infarction, Left Hemisphere
ADH1B	Cerebral Infarction, Right Hemisphere
ADH1B	Anterior Choroidal Artery Infarction
ADH1B	Subcortical Infarction
ADH1B	Colorectal Cancer
ADH1C	Alcohol Use Disorder
ADH1C	Alcoholic Intoxication
ADH1C	Alcoholic Intoxication, Chronic
ADH1C	Alcohol abuse
ADH1C	Malignant neoplasm of mouth
ADH1C	PARKINSON DISEASE, LATE-ONSET
ADH4	Alcohol Use Disorder
ADH4	Alcoholic Intoxication, Chronic
ADH4	Liver Cirrhosis, Experimental
ADH4	Alcohol abuse
ADH5	Alcoholic Intoxication, Chronic
ADH6	Alcoholic Intoxication, Chronic
ADH7	Alcoholic Intoxication, Chronic
ADH7	Malignant neoplasm of larynx
ADH7	Laryngeal neoplasm
ADH7	Malignant neoplasm of mouth
ADH7	Malignant neoplasm of pharynx
ADH7	Malignant neoplasm of esophagus
ADK	Cholestasis
ADK	Profound Mental Retardation
ADK	Mental Retardation, Psychosocial
ADK	Schizophrenia
ADK	Mental deficiency
ADK	Cholestasis in newborn
ADK	HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY
ADM	Bipolar Disorder
ADM	Glomerulonephritis
ADM	Liver Cirrhosis, Experimental
ADM	Schizophrenia
ADM	Septicemia
ADM	Gastric ulcer
ADM	Sepsis
ADM	Bright Disease
ADM	Severe Sepsis
ADORA1	Catalepsy
ADORA1	Transient Ischemic Attack
ADORA1	Myocardial Infarction
ADORA1	Prenatal Exposure Delayed Effects
ADORA1	Schizophrenia
ADORA1	Subarachnoid Hemorrhage
ADORA1	Substance Withdrawal Syndrome
ADORA1	Middle Cerebral Artery Syndrome
ADORA1	Posterior Circulation Transient Ischemic Attack
ADORA1	Middle Cerebral Artery Thrombosis
ADORA1	Infarction, Middle Cerebral Artery
ADORA1	Carotid Circulation Transient Ischemic Attack
ADORA1	Transient Ischemic Attack, Vertebrobasilar Circulation
ADORA1	Crescendo Transient Ischemic Attacks
ADORA1	Brain Stem Ischemia, Transient
ADORA1	Middle Cerebral Artery Embolus
ADORA1	Left Middle Cerebral Artery Infarction
ADORA1	Embolic Infarction, Middle Cerebral Artery
ADORA1	Thrombotic Infarction, Middle Cerebral Artery
ADORA1	Right Middle Cerebral Artery Infarction
ADORA1	Transient Cerebral Ischemia
ADORA1	Colorectal Cancer
ADORA1	Transient Ischemic Attack, Anterior Circulation
ADORA2A	Rheumatoid Arthritis
ADORA2A	Endogenous depression
ADORA2A	Depressive disorder
ADORA2A	Sleep Initiation and Maintenance Disorders
ADORA2A	Jacksonian Seizure
ADORA2A	Liver Cirrhosis, Experimental
ADORA2A	Melancholia
ADORA2A	Panic Disorder
ADORA2A	Primary Insomnia
ADORA2A	Psychoses, Drug
ADORA2A	Psychoses, Substance-Induced
ADORA2A	Reperfusion Injury
ADORA2A	Schizophrenia
ADORA2A	Septicemia
ADORA2A	Substance Withdrawal Syndrome
ADORA2A	Unipolar Depression
ADORA2A	Depressive Syndrome
ADORA2A	Panic Attacks
ADORA2A	Complex partial seizures
ADORA2A	Generalized seizures
ADORA2A	Seizures, Clonic
ADORA2A	Amphetamine Addiction
ADORA2A	Amphetamine Abuse
ADORA2A	Sepsis
ADORA2A	Etat Marbre
ADORA2A	Visual seizure
ADORA2A	Epileptic drop attack
ADORA2A	Depression, Neurotic
ADORA2A	Nonorganic Insomnia
ADORA2A	Anxiety States, Neurotic
ADORA2A	Olfactory seizure
ADORA2A	Vertiginous seizure
ADORA2A	Tonic - clonic seizures
ADORA2A	Single Seizure
ADORA2A	Atonic Absence Seizures
ADORA2A	Chronic Insomnia
ADORA2A	Psychophysiological Insomnia
ADORA2A	Sleep Initiation Dysfunction
ADORA2A	Anxiety neurosis (finding)
ADORA2A	Severe Sepsis
ADORA2A	Nonepileptic Seizures
ADORA2A	Epileptic Seizures
ADORA2A	Generalized Absence Seizures
ADORA2B	Reperfusion Injury
ADORA2B	Septicemia
ADORA2B	Sepsis
ADORA2B	Severe Sepsis
ADORA3	Liver Cirrhosis, Experimental
ADORA3	Myocardial Infarction
